Sl.No,Name,Type,LinkImg,LinkVid,Steps
1,Tadasana,Yoga,https://www.ayurhealthtips.com/wp-content/uploads/2018/08/Mountain-Pose.jpg,https://www.youtube.com/watch?v=hjK11x5j6a8,"Stand straight and keep some distance between feet.
Hands should be hanging alongside your body.
Now while deep inhaling raise your both the arms upwards and interlock your fingers.
Raise your heels and stand on your toes. Feel the stretch in your body from feet to fingers of arms.
Hold this position and your breath for 10 seconds.
Now while exhaling release your pose to come to the starting position.
Repeat this cycle for 10 times"
2,Padmasana,Yoga,https://www.fashionlady.in/wp-content/uploads/2018/07/padmasana-pose.jpg,https://www.youtube.com/watch?v=w_j4lnfRC38,"Sit on the floor and stretch your legs, your legs should be straight in front. Hold the right leg in both the hands, fold the legs slowly and place it on your left thigh.                     Ensure that your feet should touch your navel."
3,Vajrasana,Yoga,https://imagevars.gulfnews.com/2017/1/17/1_16a07fe5cb2.1963173_2708710889_16a07fe5cb2_large.jpg,https://www.youtube.com/watch?v=-sHP-2kWRMs,Sit on the flat floor in Dandasana or fold your both legs and place your feet under the hips.Keep your spine and head erect with closed eyes.Your knees should be touching each other.Keep your right palm on right knee and left palm on left knee.After that inhale slowly and exhale slowly by both nostrils.
4,Dandasana,Yoga,https://www.yogkala.com/wp-content/uploads/2018/01/How-To-Do-Dandasana.jpg,https://www.youtube.com/watch?v=g9zt9Vx6WBo,"Sit on the ground with back straight and legs extended come in front of you. Your legs and feet ought to be hip breadth apart and parallel.Press the sitting bones within the floor and purpose the crown of your head to the ceiling to lengthen and straighten the spine.Flexing your feet, press out through your heels.Keep your palms on the ground adjacent to your hips for supporting your spine and quiet your shoulders down. Keep your body part straight however relaxed.Ground your lower half firmly to the ground by relaxing the legs.Hold this pose for twenty to thirty seconds.

"
5,Chaturanga Dandasana,Yoga,https://www.yogajournal.com/.image/t_share/MTQ2MTgwODEyNjAyODExODM3/alexandriacrowchaturanga.jpg,https://www.youtube.com/watch?v=EpXmHyO5uRk,"First take a position of Downward facing dog pose (Adho Mukha Svanasana) after that come into plank pose.
Keep your arms fully extended and keep your spine completely erect.
Breathe out, bend your elbows and keep down your lower body towards the ground but not touching it, stop at a point when you are few inches away from the floor or ground.Keep your body parallel to the ground and your hips ought to be straight. Turn your legs inward during this position.
Keep wide space between your shoulder blades.
Your elbows ought not be spread outwards but rather be pushed back downwards towards the heel.
Assure that your neck is adjusted straight with the rest of body and press the base of your forefingers to the ground.
Remain in this position for around 10-30 seconds and after that breathe out and rests gently on the floor.
Repeat this process for 3 to 6 times."
6,Adho Mukha Svanasana,Yoga,https://marketing.gaia.com/wp-content/uploads/article-migration-image-1920x1080_DownwardFacingDogPose-768x432.jpg,https://www.youtube.com/watch?v=6Ep5VzGqDRU,"Kneel on the floor, keeping hip-width distance between your knees. Incline forward placing the hands on the floor right under the shoulders. Keep thighs and arms perpendicular to the floor. Align the hands in line with the knees, shoulders aligned to the wrists.
Press the hands into the ground. Curl the toes, exhale and gently lift the hips taking the knees away from the floor, face downward. Keep the knees and elbows bent for a while. Take 3 breaths.
Straighten both the elbow and knees, heels touching the floor, ears touching the inner arms. Look at the navel. You will feel an intense stretch in the back muscles of your legs. This is the final position. "
7,Suryanamaskar,Yoga,"https://static.langimg.com/thumb/msid-69884404,width-400,height-300,resizemode-75/pic.jpg",https://www.youtube.com/watch?v=CdGYvLhtwBo,"Step 1: Prayer pose – Pranamasana. 
Step 2: Raised arms pose – Hastauttanasana
Step 3: Hand to foot pose – Hasta Padasana
Step 4: Equestrian pose – Ashwa Sanchalanasana
Step 5: Stick pose – Dandasana
Step 6: Salute with eight parts or points – Ashtanga Namaskara
Step 7: Cobra pose – Bhujangasana
Step 8: Mountain pose – Parvatasana
Step 9: Equestrian pose – Ashwa Sanchalanasana
Step 10: Hand to foot pose – Hasta Padasana
Step 11: Raised Arms Pose- Hastauttanasana
Step 12: Standing Mountain pose – Tadasana
"
8,Bhujangasana,Yoga,https://schoolofyoga.in///wp-content/uploads/2016/12/4-Asana-2-bhujangasana-Anu-1.png,https://www.youtube.com/watch?v=cL7n4_y_PHo,"1. Lie down in prone position on the flat surface area.
2. Keep your feet together and toes against the floor, facing upwards.
3. Now keep our hand palms by the side of your chest.
4. Your arms should be close to your body and elbows pointing upwards.
5. Now raise your shoulders using the strength of your arms. Using your back muscles, raise your chest.
6. Now use the strength of your arms to raise your trunk. Look upward trying to hold your breath.
7. Keep this position for 15-20 seconds.
8. Now exhale and slowly lower yourself getting down to starting position.
9. Relax and take a deep breath.

"
9,Hasta Padasana,Yoga,https://fitnessroar.com/wp-content/uploads/2018/02/Hasta-Padasana-source-yogatipsforhealth-650x400.jpg,https://www.youtube.com/watch?v=SnoFGPZTjs0,"Stand straight with feet together and arms alongside the body.
Balance your weight equally on both feet.
Breathing in, extend your arms overhead.
Breathing out, bend forward and down towards the feet.
Stay in the posture for 20-30 seconds and continue to breath deeply.Hastapadasana Yoga Pose - Standing Forward Bend Yoga Pose
Keep the legs and spine erect; hands rest either on the floor, beside the feet or on the legs.
On the out breath, move the chest towards the knees; lift the hips and tailbone higher; press the heels down; let the head relax and move it gently towards the feet. Keep breathing deeply.
Breathing in, stretch your arms forward and up, slowly come up to the standing position.
Breathing out, bring the arms to the sides."
10,Utthita Hasta Padasana,Yoga,https://northsydneyyoga.com.au/wp-content/uploads/2016/06/uttana-padasana.jpg,https://www.youtube.com/watch?v=joZxybJ-3Kk,"Separate legs a little wider than the shoulders.
Toes are pointing forward and the outsides of the feet are parallel to the short edge of the mat.
Lift arms out to sides shoulder height.
Imagine that energy could come up the insides of the legs up into the core and run out your fingertips, lifting through the core.
Imagine that energy could then come up the insides of the legs, up the sides of the spine, (all the way up the cervical spine) and then out the top of your head.
Continue to lift through the entire body (relaxing the shoulders) and reaching through the hands."
