Hospital Id,Hospital Name,Address,Pin Code,PhONE NO
HOS-BLR-266,Abhaya Hospital (Neuropsychiatry & Critical Care Hospital Pvt Ltd),"17, Dr.M.H.Mari Gowda Road, Wilson Garden",560027,080-26566767
HOS-BLR-2,Agadi Hospital & Research Centre,"35, H Siddhaiah Road, Wilson Garden",560017,080-22222925
HOS-BLR-413,Ananya Hospital Pvt Ltd,"389/44, 19Th Main, Rajajinagarrajajinagar",560010,080-23527411
HOS-BLR-303,Anugraha Nursing Home,"No 2, Vinayaka Circle, Palace Guttahalli Main Road",560003,080-23562042
HOS-BLR-1306,Ashok Hospital,"#65, N.H.C.S. Lay-Out, 3Rd Stage, 4Th Block, Basaveshwar Nagar, Kamalanagar Main Road",560079,080-23226699
HOS-BLR-3756,Ashraya Medinova Pvt Ltd,"Magadi Main Road, Sunkadakatte, Srigandadakaval",560091,080-23583783
HOS-BLR-1793,Ashwini Hospital,"#129, Katruguppa, Bsk 3Rd Stg",560085,080-26723002
HOS-BLR-1593,Ashwini Hospital,"B.B.Road, Yelahanka",560064,080-28563877
HOS-BLR-248,Dr.Agarwal Hospitals,"15, Eagle Street, Langford Townlangford Town",560025,080-22240736
HOS-BLR-2142,Aditi Hosptial,"Gandhi Square Newpet, Anekal",562106,080-27830090
HOS-BLR-2350,A.M. Hospital,"# 20/1, 2Nd Cross, Widia Layout, Vijayanagar",560040,080-23392851
HOS-BLR-3,Bangalore Baptist Hospital,"Bellary Road, Hebbal, Opp University Of Agricultural Sciences (Near Hebbal Flyower)",560024,080-23330321
HOS-BLR-748,Bhagwan Mahaveer Jain Netralaya,"#3, Railway Platform Road, Sheshadripuram, Policestation Opp. Roadsheshadripuram",560020,080-23462558
HOS-BLR-1060,Bhanu Nursing Home,"69/5B, Bommanahalli, Hosur Rd",560068,080-25732130
HOS-BLR-1655,Bharath Nursing Home,"# 1402, Near Vegitable Market, J.P Nagr 1St Phase, -Kanakapura Main Road",560078,080-26539923
HOS-BLR-1073,Bibi Ayesha Mili Hospital,"242, Old Mysore- Rd, Mysore",570015,0821-2493962
HOS-BLR-5,Nu Hospitals Pvt Ltd,"C.A. 6, 15Th Main, 11Th Cross, Padmanabha Nagar, Near Devgowda Petrol Bunk",560070,080-42489999
HOS-BLR-452,The Bangalore Kidney Stones Hospital,10 Vokkaligara Bhavana Hudson Circle,560027,080-22242080
HOS-BLR-1879,Balaji Hospital,"40/1, J.J.R. Nagar Main Road, K.H. Ranganath Colony",560018,080-28916038
HOS-BLR-2148,Bacc Health Care Private Limited,"No 6/7, Kumara Krupa Road, High Grounds",560001,080-41138255
HOS-BLR-2190,Basavangudi Medical Centre,"84/1, R.V. Road, Basavanagudi",560004,080-26571638
HOS-BLR-1541,Chaitanya Hospital,"No.80, 3Rd Cross, P&T Colony,R.T.Nagar",560032,080-23333581
HOS-BLR-2635,Basavanagudi E.N.T. Care Centre,"44/1, H.B. Samaja Road, Basavanagudi",560004,080-26604569
HOS-BLR-2260,Citi Hospital,"25/91, West Of Chord Road, 20Th Main, 2Nd Block, Rajajinagar",560010,080-23131777
HOS-BLR-836,Chandana Hospital,"#54, 4Th Cross, 4Th Main, Ngefnrupathunganagar, Nagarbhavi",560072,080-23213658
HOS-BLR-7,Chinmaya Mission Hospital,"1/1, C M H Road, Indiranagar",560038,080-25280461
HOS-BLR-8,Chord Road Hospital Pvt Ltd,"100/101,Lic Colony West Of Chord Road",560079,080-67192248
HOS-BLR-1192,Csi-Church Of South India Hospital,"Post Beg No #4, Hazarat Kambal Posh Roadposh Road",560051,080-22861103
HOS-BLR-267,H.C.G. Curie Centre Of Oncology,"No-88 17Th A Main 2Nd Cross 5Th Block Kormangala, Near Sukh Sagar Hotel",560095,080-25538194
HOS-BLR-2115,Columbia Asia Hospital Pvt Ltd,"Kirloskar Business Park, Bellary Road, Hebbal",560024,080-41791000
HOS-BLR-714,Belle Vue'S Cambridge Hospital,"18/17, Cambridge Road, Ulsoor",560008,080-40061111
HOS-BLR-2353,Chaitanya Medical Centre,"# 771/24, Khb , Asector, Yelahanka",560064,080-25972745
HOS-BLR-2389,Chiranjeevi Hospital & Maternity Home,"16Th 2Nd Main, Sri Manjunatha Temple St, Mysore Bank Colony",560050,080-26917676
HOS-BLR-10,Deepak Hospital,"259, 33Rd Cross, Kanakapura Main Road, 7Th Block, Jayanagar",560082,080-26654590
HOS-BLR-9,D.G. Hospital (Devambika Nursing Home),"274 / 275, Mkp Road, Padmanabhanagar, Puttalingaiah Road",560070,080-26696810
HOS-BLR-4944,Divyadrishti Eye Hosptial,"996/22, Service Road, Rpc Layout",560040,080-23145300
